,exchanges
0,Bitstamp
1,LocalBitcoins
2,EXX
3,TheRockTrading
4,ACX
5,CEX.IO
6,Liquid
7,Upbit
8,HitBTC
9,Kraken
10,Binance US
11,Coinfloor
12,Bl3p
13,Gatecoin
14,Allcoin
15,Binance
16,Cobinhood
17,Bittrex
18,BeQuant
19,BTCC
20,AnyBits
21,Bitso
22,Tidebit
23,Huobi Global
24,ZB
25,Bitfinex
26,Bitforex
27,BitBay
28,Bitibu
29,KuCoin
30,BtcTurk PRO
31,Gemini
32,Ethfinex
33,Coinbase Exchange
34,Currency.com
35,YoBit
36,CoinEx
37,BTC-Alpha
38,LMAX
39,Hotbit
40,Uniswap (v2)
41,CoinMate
42,FTX
43,Stronghold
44,Coinone
45,Okcoin
46,Poloniex
47,PancakeSwap
48,Balancer (v1)
49,SpookySwap
50,Sushiswap
51,Bibox
52,Uniswap (v3)
53,Trader Joe
54,Balancer (v2)
55,SpiritSwap
56,Curve
57,Apeswap
58,Bitlish
59,Bithumb
60,SouthXchange
61,BinanceDEXTestnet
62,Korbit
63,OKEx
64,BigONE
65,Solarbeam
66,CoinEgg
67,Bit-Z
68,itBit
69,BTC38
70,Btcbox
71,Bitbank
72,Tidex
73,Binance DEX
74,The Ocean
75,Bancor
76,Ubeswap
77,UEX
78,Zaif
